sample_id,t,x,y
411,13.68,202.93,154.87
412,13.71,202.93,154.87
413,13.75,202.93,154.87
414,13.78,203.69,154.87
415,13.81,203.69,154.87
416,13.85,203.69,154.87
417,13.88,203.69,154.87
418,13.91,203.69,154.87
419,13.95,203.69,154.87
420,13.98,203.69,154.87
421,14.01,202.93,154.87
422,14.05,202.93,154.87
423,14.08,202.93,154.87
424,14.11,202.93,154.87
425,14.15,202.93,154.1
426,14.18,202.17,154.87
427,14.21,202.93,154.1
428,14.25,202.17,154.87
429,14.28,202.17,154.87
430,14.31,201.4,154.87
431,14.35,201.4,154.87
432,14.38,201.4,154.87
433,14.41,200.64,155.63
434,14.45,199.88,155.63
435,14.48,200.64,155.63
436,14.51,200.64,155.63
437,14.55,199.88,155.63
438,14.58,200.64,155.63
439,14.61,199.88,156.39
440,14.65,200.64,155.63
441,14.68,199.88,156.39
442,14.71,199.88,156.39
443,14.75,199.88,156.39
444,14.78,199.88,156.39
445,14.81,199.88,156.39
446,14.85,199.88,156.39
447,14.88,199.88,156.39
448,14.91,199.88,156.39
449,14.95,200.64,155.63
450,14.98,199.88,156.39
451,15.02,199.88,156.39
452,15.05,199.88,156.39
453,15.08,199.88,156.39
454,15.12,199.12,156.39
455,15.15,199.12,156.39
456,15.18,198.35,157.16
457,15.22,199.12,156.39
458,15.25,199.12,156.39
459,15.28,199.12,156.39
460,15.32,199.12,157.16
461,15.35,199.12,156.39
462,15.38,199.12,156.39
463,15.42,199.12,157.16
464,15.45,199.12,156.39
465,15.48,199.12,156.39
466,15.52,199.12,156.39
467,15.55,199.88,156.39
468,15.58,199.88,156.39
469,15.62,199.88,156.39
470,15.65,199.88,156.39
471,15.68,199.88,156.39
472,15.72,199.88,156.39
473,15.75,199.88,155.63
474,15.78,200.64,155.63
475,15.82,199.12,156.39
476,15.85,199.12,156.39
477,15.88,199.12,156.39
478,15.92,199.12,156.39
479,15.95,199.12,156.39
480,15.98,198.35,156.39
481,16.02,199.12,156.39
482,16.05,198.35,156.39
483,16.08,199.12,156.39
484,16.12,199.12,156.39
485,16.15,199.12,156.39
486,16.18,199.12,156.39
487,16.22,199.12,156.39
488,16.25,199.12,156.39
489,16.28,199.12,156.39
490,16.32,199.12,156.39
491,16.35,199.12,157.16
492,16.38,199.12,156.39
493,16.42,199.12,156.39
494,16.45,199.88,156.39
495,16.48,199.88,156.39
496,16.52,199.12,156.39
497,16.55,199.12,156.39
498,16.58,200.64,156.39
499,16.62,200.64,155.63
500,16.65,200.64,156.39
501,16.68,200.64,156.39
502,16.72,199.88,156.39
503,16.75,200.64,155.63
504,16.78,200.64,155.63
505,16.82,199.88,156.39
506,16.85,200.64,155.63
507,16.88,200.64,154.87
508,16.92,200.64,154.87
509,16.95,200.64,154.87
510,16.98,201.4,154.87
511,17.02,201.4,154.87
512,17.05,201.4,154.87
513,17.08,202.17,154.87
514,17.12,201.4,154.87
515,17.15,201.4,155.63
516,17.18,201.4,154.87
517,17.22,202.17,154.87
518,17.25,202.17,154.87
519,17.28,202.17,155.63
520,17.32,202.17,155.63
521,17.35,202.17,154.87
522,17.38,201.4,155.63
523,17.42,202.17,155.63
524,17.45,202.17,155.63
525,17.48,202.17,155.63
526,17.52,201.4,155.63
527,17.55,201.4,155.63
528,17.58,201.4,155.63
529,17.62,201.4,155.63
530,17.65,201.4,155.63
531,17.68,202.17,155.63
532,17.72,202.17,155.63
